year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
2006,1,4.7,0,4.29,0.01468003
2006,2,4.8,0,4.49,-0.00015423
2006,3,4.7,0,4.59,0.01487356
2006,4,4.7,0,4.79,0.00799749
2006,5,4.6,0,4.94,-0.00785228
2006,6,4.6,0,4.99,-0.02704372
2006,7,4.7,0,5.24,0.00721504
2006,8,4.7,0,5.25,0.02293214
2006,9,4.5,0,5.25,0.02532598
2006,10,4.4,0,5.25,0.03617557
2006,11,4.5,0,5.25,0.02003232
2006,12,4.4,0,5.24,0.02149825
2007,1,4.6,0,5.25,0.00694023
2007,2,4.5,0,5.26,0.01597238
2007,3,4.4,0,5.26,-0.02472718
2007,4,4.5,0,5.25,0.04181602
2007,5,4.4,0,5.25,0.03393044
2007,6,4.6,0,5.25,0.00346151
2007,7,4.7,0,5.26,0.00576106
2007,8,4.6,0,5.02,-0.04199628
2007,9,4.7,0,4.94,0.0307629
2007,10,4.7,0,4.76,0.02993024
2007,11,4.7,0,4.49,-0.04804957
2007,12,5.0,0,4.24,0.01239644
