year,month,UNRATE,USREC,FEDFUNDS
1976,1,7.9,0,4.87
1976,2,7.7,0,4.77
1976,3,7.6,0,4.84
1976,4,7.7,0,4.82
1976,5,7.4,0,5.29
1976,6,7.6,0,5.48
1976,7,7.8,0,5.31
1976,8,7.8,0,5.29
1976,9,7.6,0,5.25
1976,10,7.7,0,5.02
1976,11,7.8,0,4.95
1976,12,7.8,0,4.65
1977,1,7.5,0,4.61
1977,2,7.6,0,4.68
1977,3,7.4,0,4.69
1977,4,7.2,0,4.73
1977,5,7.0,0,5.35
1977,6,7.2,0,5.39
1977,7,6.9,0,5.42
1977,8,7.0,0,5.90
1977,9,6.8,0,6.14
1977,10,6.8,0,6.47
1977,11,6.8,0,6.51
1977,12,6.4,0,6.56
1978,1,6.4,0,6.70
1978,2,6.3,0,6.78
1978,3,6.3,0,6.79
1978,4,6.1,0,6.89
1978,5,6.0,0,7.36
1978,6,5.9,0,7.60
1978,7,6.2,0,7.81
1978,8,5.9,0,8.04
1978,9,6.0,0,8.45
1978,10,5.8,0,8.96
1978,11,5.9,0,9.76
1978,12,6.0,0,10.03
1979,1,5.9,0,10.07
1979,2,5.9,0,10.06
1979,3,5.8,0,10.09
1979,4,5.8,0,10.01
1979,5,5.6,0,10.24
1979,6,5.7,0,10.29
1979,7,5.7,0,10.47
1979,8,6.0,0,10.94
1979,9,5.9,0,11.43
1979,10,6.0,0,13.77
1979,11,5.9,0,13.18
1979,12,6.0,0,13.78
