year,month,UNRATE,USREC,FEDFUNDS,SP500_TR
1953,1,2.9,0,,0.00988863
1953,2,2.6,0,,-0.00773491
1953,3,2.6,0,,0.00957077
1953,4,2.7,0,,-0.04471806
1953,5,2.5,0,,0.01003868
1953,6,2.5,0,,-0.03106549
1953,7,2.6,0,,0.01913709
1953,8,2.7,1,,0.00898861
1953,9,2.9,1,,-0.04106874
1953,10,3.1,1,,0.03520269
1953,11,3.5,1,,0.02711723
1953,12,4.5,1,,0.01840136
1954,1,4.9,1,,0.03026134
1954,2,5.2,1,,0.02678492
1954,3,5.7,1,,0.0258455
1954,4,5.9,1,,0.04448416
1954,5,5.9,1,,0.04420518
1954,6,5.6,0,,0.01221139
1954,7,5.8,0,0.80,0.04459217
1954,8,6.0,0,1.22,0.02396097
1954,9,6.1,0,1.07,0.02741621
1954,10,5.7,0,0.85,0.02716834
1954,11,5.3,0,0.83,0.04308232
1954,12,5.0,0,1.28,0.04959131
