year,month,UNRATE,USREC
1973,1,4.9,0
1973,2,5.0,0
1973,3,4.9,0
1973,4,5.0,0
1973,5,4.9,0
1973,6,4.9,0
1973,7,4.8,0
1973,8,4.8,0
1973,9,4.8,0
1973,10,4.6,0
1973,11,4.8,0
1973,12,4.9,1
1974,1,5.1,1
1974,2,5.2,1
1974,3,5.1,1
1974,4,5.1,1
1974,5,5.1,1
1974,6,5.4,1
1974,7,5.5,1
1974,8,5.5,1
1974,9,5.9,1
1974,10,6.0,1
1974,11,6.6,1
1974,12,7.2,1
1975,1,8.1,1
1975,2,8.1,1
1975,3,8.6,1
1975,4,8.8,0
1975,5,9.0,0
1975,6,8.8,0
1975,7,8.6,0
1975,8,8.4,0
1975,9,8.4,0
1975,10,8.4,0
1975,11,8.3,0
1975,12,8.2,0
