year,month,UNRATE,USREC,FEDFUNDS
1980,1,6.3,0,13.82
1980,2,6.3,1,14.13
1980,3,6.3,1,17.19
1980,4,6.9,1,17.61
1980,5,7.5,1,10.98
1980,6,7.6,1,9.47
1980,7,7.8,1,9.03
1980,8,7.7,0,9.61
1980,9,7.5,0,10.87
1980,10,7.5,0,12.81
1980,11,7.5,0,15.85
1980,12,7.2,0,18.90
1981,1,7.5,0,19.08
1981,2,7.4,0,15.93
1981,3,7.4,0,14.70
1981,4,7.2,0,15.72
1981,5,7.5,0,18.52
1981,6,7.5,0,19.10
1981,7,7.2,0,19.04
1981,8,7.4,1,17.82
1981,9,7.6,1,15.87
1981,10,7.9,1,15.08
1981,11,8.3,1,13.31
1981,12,8.5,1,12.37
1982,1,8.6,1,13.22
1982,2,8.9,1,14.78
1982,3,9.0,1,14.68
1982,4,9.3,1,14.94
1982,5,9.4,1,14.45
1982,6,9.6,1,14.15
1982,7,9.8,1,12.59
1982,8,9.8,1,10.12
1982,9,10.1,1,10.31
1982,10,10.4,1,9.71
1982,11,10.8,1,9.20
1982,12,10.8,0,8.95
