year,month,GS10,SP500_TR,CPI
1871,1,5.32,,12.46406116
1871,2,5.32333333333333,0.01839339,12.84464132
1871,3,5.32666666666667,0.02925926,13.0349719
1871,4,5.33,0.03289949,12.55922645
1871,5,5.33333333333333,0.02988748,12.27381157
1871,6,5.33666666666667,-0.00377229,12.08348099
1871,7,5.34,-0.01417704,12.08348099
1871,8,5.34333333333333,0.01726568,11.8932314
1871,9,5.34666666666667,0.01496173,12.17864628
1871,10,5.35,-0.04717631,12.36889587
1871,11,5.35333333333333,0.01561365,12.36889587
1871,12,5.35666666666667,0.02622126,12.65439174
1872,1,5.36,0.0299455,12.65439174
1872,2,5.37833333333333,0.00868827,12.65439174
1872,3,5.39666666666667,0.03739754,12.84464132
1872,4,5.415,0.03229663,13.13013719
1872,5,5.43333333333333,0.00445142,13.13013719
1872,6,5.45166666666667,-0.00514801,13.0349719
1872,7,5.47,-0.00124594,12.84464132
1872,8,5.48833333333333,-0.00708007,12.93980661
1872,9,5.50666666666667,-0.01306217,13.0349719
1872,10,5.525,0.00897811,12.74947603
1872,11,5.54333333333333,0.0009507,13.13013719
1872,12,5.56166666666667,0.02929293,12.93980661
1873,1,5.58,0.0128616,12.93980661
1873,2,5.57083333333333,0.0128017,13.22522149
1873,3,5.56166666666667,-0.00279126,13.22522149
1873,4,5.5525,-0.00864318,13.22522149
1873,5,5.54333333333333,0.00715112,12.93980661
1873,6,5.53416666666667,-0.00866337,12.55922645
1873,7,5.525,0.00330489,12.55922645
1873,8,5.51583333333333,0.00536553,12.55922645
1873,9,5.50666666666667,-0.07105131,12.55922645
1873,10,5.4975,-0.08124546,12.27381157
1873,11,5.48833333333333,-0.029286,11.8932314
1873,12,5.47916666666667,0.10086634,12.17864628
1874,1,5.47,0.06052036,12.36889587
1874,2,5.43666666666667,0.03594421,12.36889587
1874,3,5.40333333333333,-0.00885417,12.36889587
1874,4,5.37,-0.02167019,12.17864628
1874,5,5.33666666666667,-0.0201087,12.08348099
1874,6,5.30333333333333,0.00167411,11.79806612
1874,7,5.27,0.00616592,11.8932314
1874,8,5.23666666666667,0.00840807,11.79806612
1874,9,5.20333333333333,0.02181208,11.79806612
1874,10,5.17,0.00385463,11.60773554
1874,11,5.13666666666667,0.01490066,11.51265124
1874,12,5.10333333333333,-0.00054705,11.51265124
1875,1,5.07,0.00601138,11.51265124
1875,2,5.03,0.00376285,11.51265124
1875,3,4.99,0.0191777,11.51265124
1875,4,4.95,0.01888163,11.60773554
1875,5,4.91,-0.03301971,11.32232066
1875,6,4.87,-0.01426174,11.13207107
1875,7,4.83,0.00822869,11.13207107
1875,8,4.79,0.01044039,11.22715537
1875,9,4.75,-0.00325964,11.13207107
1875,10,4.71,-0.01020214,11.13207107
1875,11,4.67,0.02214147,11.03690579
1875,12,4.63,0.00572082,10.9417405
1876,1,4.59,0.02631579,10.84657521
1876,2,4.57833333333333,0.0190583,10.84657521
1876,3,4.56666666666667,0.00331858,10.84657521
1876,4,4.555,-0.03215078,10.75149091
1876,5,4.54333333333333,-0.03110599,10.37091074
1876,6,4.53166666666667,-0.00119617,10.08541488
1876,7,4.52,-0.0060241,10.08541488
1876,8,4.50833333333333,-0.03536585,10.18058017
1876,9,4.49666666666667,-0.05470738,10.27574545
1876,10,4.485,0.00135501,10.46599504
1876,11,4.47333333333333,-0.01226158,10.56116033
1876,12,4.46166666666667,0.00138889,10.75149091
1877,1,4.45,-0.0016108,10.9417405
1877,2,4.44083333333333,-0.05254225,10.65632562
1877,3,4.43166666666667,-0.0440993,10.18058017
1877,4,4.4225,-0.06563354,10.46599504
1877,5,4.41333333333333,0.00720522,10.65632562
1877,6,4.40416666666667,-0.06448413,10.08541488
1877,7,4.395,0.05115385,10.18058017
1877,8,4.38583333333333,0.07680409,9.8
1877,9,4.37666666666667,0.0682377,9.704834711
1877,10,4.3675,0.02696245,9.704834711
1877,11,4.35833333333333,-0.01009063,9.514585124
1877,12,4.34916666666667,0.00178937,9.514585124
1878,1,4.34,0.00485128,9.229089256
